Wavelength,Intensity
500.00,0.00
500.98,0.00
501.96,0.00
502.93,2.23
503.91,8.74
504.89,6.92
505.87,0.00
506.84,9.93
507.82,0.00
508.80,0.00
509.78,0.00
510.75,0.00
511.73,1.03
512.71,2.54
513.69,9.66
514.66,4.70
515.64,19.58
516.62,4.33
517.60,0.00
518.57,0.00
519.55,0.29
520.53,0.00
521.51,0.00
522.48,0.00
523.46,14.98
524.44,0.00
525.42,0.00
526.39,9.69
527.37,0.00
528.35,4.00
529.33,11.28
530.30,0.00
531.28,0.00
532.26,14.03
533.24,13.10
534.21,5.88
535.19,3.23
536.17,0.00
537.15,3.41
538.12,0.00
539.10,0.00
540.08,12.45
541.06,0.00
542.03,7.33
543.01,3.64
543.99,0.00
544.97,0.00
545.94,0.00
546.92,0.00
547.90,8.35
548.88,0.00
549.85,10.04
550.83,0.00
551.81,0.00
552.79,0.00
553.76,0.00
554.74,3.97
555.72,16.19
556.70,3.15
557.67,3.29
558.65,4.40
559.63,2.23
560.61,0.00
561.58,0.00
562.56,0.00
563.54,5.82
564.52,0.00
565.49,2.26
566.47,0.00
567.45,0.00
568.43,0.00
569.40,1.71
570.38,0.00
571.36,2.98
572.34,0.00
573.31,2.28
574.29,3.60
575.27,0.00
576.25,14.16
577.22,0.00
578.20,0.00
579.18,0.00
580.16,0.32
581.13,0.00
582.11,1.70
583.09,2.32
584.07,0.00
585.04,0.00
586.02,0.00
587.00,0.00
587.98,0.00
588.95,0.00
589.93,0.00
590.91,6.58
591.89,4.07
592.86,0.00
593.84,0.00
594.82,0.00
595.80,15.84
596.77,0.00
597.75,0.00
598.73,0.00
599.71,1.21
600.68,5.10
601.66,3.61
602.64,0.00
603.62,0.00
604.59,0.00
605.57,3.89
606.55,0.00
607.53,0.00
608.50,0.00
609.48,3.85
610.46,7.07
611.44,3.69
612.41,2.77
613.39,7.45
614.37,3.63
615.35,6.17
616.32,0.00
617.30,2.85
618.28,3.26
619.26,0.00
620.23,0.00
621.21,0.00
622.19,0.00
623.17,7.80
624.14,9.13
625.12,0.00
626.10,6.04
627.08,14.63
628.05,1.50
629.03,0.52
630.01,0.00
630.99,2.90
631.96,8.42
632.94,14.44
633.92,0.00
634.90,7.74
635.87,5.70
636.85,0.00
637.83,3.68
638.81,9.15
639.78,0.00
640.76,7.92
641.74,13.71
642.72,0.00
643.70,2.92
644.67,0.00
645.65,0.00
646.63,6.42
647.61,0.00
648.58,6.55
649.56,13.03
650.54,1.57
651.52,1.68
652.49,0.00
653.47,0.00
654.45,0.00
655.43,2.19
656.40,0.00
657.38,1.06
658.36,0.00
659.34,0.00
660.31,0.00
661.29,0.00
662.27,7.57
663.25,0.00
664.22,9.97
665.20,1.66
666.18,1.04
667.16,0.00
668.13,0.00
669.11,1.42
670.09,0.00
671.07,13.57
672.04,5.25
673.02,6.12
674.00,4.12
674.98,0.00
675.95,0.00
676.93,2.77
677.91,0.61
678.89,9.42
679.86,0.00
680.84,10.21
681.82,0.00
682.80,18.30
683.77,4.04
684.75,0.00
685.73,0.00
686.71,0.00
687.68,0.00
688.66,0.00
689.64,0.00
690.62,0.00
691.59,0.00
692.57,8.10
693.55,12.64
694.53,0.00
695.50,9.73
696.48,14.08
697.46,0.00
698.44,9.58
699.41,7.55
700.39,7.23
701.37,2.35
702.35,0.00
703.32,0.00
704.30,0.00
705.28,11.44
706.26,7.07
707.23,0.00
708.21,0.00
709.19,0.00
710.17,13.24
711.14,0.00
712.12,7.08
713.10,0.00
714.08,0.00
715.05,0.00
716.03,0.00
717.01,12.19
717.99,14.56
